ActivityStartDate,ActivityStartTime/Time,ActivityEndDate,ActivityEndTime/Time,MonitoringLocationIdentifier,ActivityDepthHeightMeasure/MeasureValue,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,MeasureQualifierCode,DetectionQuantitationLimitMeasure/MeasureValue,ResultDetectionConditionText,ProjectIdentifier,ResultAnalyticalMethod/MethodName,ProviderName,ActivityDepthHeightMeasure/MeasureUnitCode
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Tetrachloroethylene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"1,1-Dichloroethylene",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-05-06,09:00:00,,,21OHIO_WQX-V07W06,,Water,"Temperature, water",3.11,deg C,Final,,,,1137,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Total dissolved solids,568.0,mg/L,Final,,,,41,SM 2540C,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Manganese,131.0,ug/L,Final,,,,41,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"1,2,4-Trimethylbenzene",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Total dissolved solids,678.0,mg/L,Final,,,,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"1,1,1,2-Tetrachloroethane",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Barium,132.0,ug/L,Final,,,,41,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Dichlorobromomethane,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Copper,4.6,ug/L,Final,,,,1137,SM 3113B,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,,Final,,0.1,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Lead,,,Final,,2.0,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,CFC-11,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Bromobenzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Fluoride,0.49,mg/L,Final,,,,41,SM 4500-FC,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Cadmium,,,Final,,0.2,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,,,Final,,0.1,Present Below Quantification Limit,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Potassium,10.0,mg/L,Final,,,,1137,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,p-Dichlorobenzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,n-Propylbenzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"1,1,2,2-Tetrachloroethane",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-05-07,09:10:00,,,21OHIO_WQX-V07W06,,Water,Specific conductance,1064.0,umho/cm,Final,,,,1708,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"1,2-Dibromo-3-chloropropane",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,sec-Butylbenzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"1,1-Dichloropropene",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Total suspended solids,,,Final,,5.0,Present Below Quantification Limit,1137,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,"Hardness, Ca, Mg",458.0,mg/L,Final,,,,41,USEPA 200.7,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Bromide,,,Final,J;U,40.0,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,o-Xylene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-05-06,09:00:00,,,21OHIO_WQX-V07W06,,Water,Dissolved oxygen (DO),10.63,mg/L,Final,,,,1137,,STORET,
